authors,dates,statements,sources,targets,BianryTarget,BianryNumTarget
Amy Sherman,"January 14, 2026","“By federal law, if you sign someone up for Medicaid, you also give them the right to vote. … This is political patronage at the expense of Medicaid.”",Mehmet Oz,false,Fake,0
Louis Jacobson,"January 13, 2026","""If we stop this fraud, this massive fraud, we're going to have a balanced budget.""",Donald Trump,false,Fake,0
Loreben Tuquero,"January 12, 2026",A document shows Minnesota shooting victim Renee Good had a record of child abuse.,Social Media,false,Fake,0
Louis Jacobson,"January 12, 2026",Credit card companies would be “in violation of the law” if they don’t cap interest rates at 10% by Jan. 20.,Donald Trump,false,Fake,0
Madison Czopek,"January 12, 2026",“They are not getting the traditional five months training. … The training for the ICE agents now is 47 days.”,Mark Warner,mostly-true,Real,1
Loreben Tuquero,"January 8, 2026",Images of an unmasked man show the immigration officer who shot a woman in Minneapolis.,Social Media,pants-fire,Fake,0
Maria Briceño,"January 8, 2026",Viral photo shows the woman killed by an ICE agent Jan. 7 in Minneapolis.,Social Media,false,Fake,0
Amy Sherman,"January 8, 2026","The Justice Department has been investigating fraud in Minnesota “for months. So far, we have charged 98 individuals.”",Pam Bondi,half-true,Fake,0
Maria Ramirez,"• January 7,",Maduro was “flooding America with deadly fentanyl.”,Donald Trump,false,Fake,0
Samantha Putterman,"January 7, 2026",Venezuelan leader Nicolás Maduro “was releasing people from his prisons and sending them to our southern border under the Biden administration.”,Ron DeSantis,false,Fake,0
Maria Briceño,"January 6, 2026","Video shows “leaked Donald Trump audio about the Epstein files and Venezuela.""",Facebook posts,false,Fake,0
Madison Czopek,"January 6, 2026",Gov. Tim Walz had Democratic lawmaker Melissa Hortman killed.,Donald Trump,false,Fake,0
Maria Briceño,"January 5, 2026",Video shows “millions of Venezuelans flooded the streets of Caracas” to celebrate Nicolás Maduro’s capture.,Alex Jones,false,Fake,0
Loreben Tuquero,"January 5, 2026",Images and videos show aftermath of Venezuelan President Nicolás Maduro’s capture.,Social Media,pants-fire,Fake,0
Jeff Cercone,"December 19, 2025",Brown University student Mustapha Karbouch was a suspect in school shooting.,Social Media,false,Fake,0
Maria Briceño,"December 19, 2025",Images from Jeffrey Epstein “archives” show President Donald Trump and Epstein with young women.,X posts,pants-fire,Fake,0
Maria Briceño,"December 17, 2025",Image shows Rob Reiner tweeted in 2023 that he would stop posting until “Trump goes to prison.”,Laura Loomer,false,Fake,0
Jill Terreri,"• December 11,",Gov. Kathy Hochul has raised taxes.,Elise Stefanik,half-true,Fake,0
Louis Jacobson,"December 9, 2025",The U.S. has received promises of investments totaling $18 trillion to $22 trillion since January.,Donald Trump,false,Fake,0
Amy Sherman,"December 5, 2025",“I take responsibility for putting people in jail” in Minnesota fraud scandal.,Tim Walz,false,Fake,0
Maria Briceño,"December 4, 2025",Video muestra noticia de “última hora” en el que el presidente venezolano Nicolás Maduro se “rindió públicamente” ante el presidente Donald Trump.,Donald Trump,pants-fire,Fake,0
Louis Jacobson,"December 4, 2025","Any pardon signed with an autopen is now ""fully and completely terminated, and is of no legal effect.""",Donald Trump,false,Fake,0
Paul Specht,"December 4, 2025",A new North Carolina law “prohibits the use of wireless communication devices while driving.”,Facebook posts,false,Fake,0
Maria Briceño,"December 3, 2025","Video shows “breaking” news that Venezuelan President Nicolás Maduro ""publicly surrendered"" to President Donald Trump.",Donald Trump,pants-fire,Fake,0
Paul Specht,"November 26, 2025","“This Thanksgiving, turkey prices are at their lowest point since 2000.”",Richard Hudson,false,Fake,0
Madison Czopek,"November 26, 2025","The Trump administration removed nursing from the list of professional degree programs, affecting aspiring nurses’ student loan access.",Social Media,half-true,Fake,0
Louis Jacobson,"November 24, 2025",“I have just gotten the highest poll numbers of my ‘political career.’”,Donald Trump,false,Fake,0
Paul Specht,"November 24, 2025","“There’s about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte’s jails that they refuse to turn over to ICE law enforcement.”",Tricia McLaughlin,false,Fake,0
Trent Ao,"November 21, 2025",West Virginia is “the only state losing population.”,Kayla Young,false,Fake,0
Maria Briceño,"November 21, 2025",A pro-Donald Trump Montana town planned a “pedophile bonfire” in a park for burning Trump flags and MAGA hats.,X posts,pants-fire,Fake,0
Madison Czopek,"November 20, 2025",“We’re not cutting science. We’re not cutting research.”,Robert F. Kennedy Jr.,pants-fire,Fake,0
Samantha Putterman,"November 20, 2025",Housing is expensive “because we flooded the country with 30 million illegal immigrants” and because of a housing shortage.,JD Vance,barely-true,Fake,0
Louis Jacobson,"November 19, 2025","Stock prices for health insurance companies are “up over 1,000% over a short period of time.”",Donald Trump,half-true,Fake,0
Madison Czopek,"November 17, 2025",Video shows President Donald Trump patting President Bill Clinton’s crotch.,TikTok posts,false,Fake,0
Samantha Putterman,"November 14, 2025",“Evidence suggests that 1 in 25 women who consume (abortion) pills are hospitalized.”,James Uthmeier,barely-true,Fake,0
Louis Jacobson,"November 14, 2025",“My tariffs … are helping to slash the deficit this year by more than 25%.”,Donald Trump,false,Fake,0
Louis Jacobson,"November 14, 2025",Walmart’s 2025 package of Thanksgiving dinner ingredients shows a “25% reduction in costs for Thanksgiving between (President Joe) Biden and me.”,Donald Trump,barely-true,Fake,0
Loreben Tuquero,"November 10, 2025",“DOGE halts yearly payment of $2.5 million to Barack Obama for ‘royalties linked to Obamacare.’”,Donald Trump,pants-fire,Fake,0
Paul Specht,"November 8, 2025",“North Carolina teachers are already the lowest paid teachers in the south.”,Anderson Clayton,barely-true,Fake,0
Maria Briceño,"November 7, 2025",“RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.”,X posts,false,Fake,0
Louis Jacobson,"November 7, 2025",New York City Mayor-elect Zohran Mamdani “is bringing Sharia law to America.”,Nancy Mace,pants-fire,Fake,0
Grace Abels,"November 5, 2025",Voting in California is “rigged.”,Donald Trump,pants-fire,Fake,0
Maria Briceño,"November 4, 2025","New York state has ""no ID requirement"" to vote, and people could lie about their address and ""vote in multiple precincts.""",X posts,barely-true,Fake,0
Louis Jacobson,"November 4, 2025",“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,Elon Musk,false,Fake,0
Amy Sherman,"November 3, 2025","The federal government “decided to shut down the SNAP machines, so that they can’t be used.”",JB Pritzker,false,Fake,0
Loreben Tuquero,"November 3, 2025",The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,X posts,false,Fake,0
Nick Karmia,"October 31, 2025",“No American citizens have been arrested or detained” during the Trump administration’s immigration crackdowns.,Kristi Noem,pants-fire,Fake,0
Samantha Putterman,"October 30, 2025","In Florida, “68 to 70% of property tax revenue” is from “second homes, investment properties, commercial properties, Airbnb,” not primary residences.",Ron DeSantis,mostly-true,Real,1
Maria Ramirez,"• October 29,","“To all ICE officers, you have federal immunity in the conduct of your duties.”",Stephen Miller,barely-true,Fake,0
Loreben Tuquero,"October 29, 2025",Walmart will close to in-store shoppers and allow only online orders and curbside pickup starting Nov. 1 because of an expected Supplemental Nutrition Assistance Program funding lapse.,Social Media,pants-fire,Fake,0
Louis Jacobson,"October 29, 2025","""Overall, the inflation since President Trump” took office “has come down.""",Scott Bessent,half-true,Fake,0
Maria Briceño,"October 27, 2025","Video shows Hurricane Melissa hitting Jamaica on Oct. 26, 2025.",X posts,false,Fake,0
Louis Jacobson,"October 24, 2025","An ad from the government of Ontario, Canada, “misrepresents” President Ronald Reagan’s April 25, 1987, address about tariffs.",The Ronald Reagan Presidential Foundation and Institute,barely-true,Fake,0
Louis Jacobson,"October 24, 2025","“The Trump administration just declared that erecting a ballroom is the president’s main priority,” rather than issues such as the cost of living and health care.",Hakeem Jeffries,false,Fake,0
Maria Ramirez,"• October 23,","Con respecto a los ataques contra las embarcaciones en las costas de Venezuela, “por cada barco que destruimos, salvamos 25,000 vidas estadounidenses”.",Donald Trump,pants-fire,Fake,0
Grace Abels,"October 22, 2025",A new White House ballroom “won't interfere with the current building.”,Donald Trump,full-flop,Fake,0
Samantha Putterman,"October 22, 2025","“About 25% of the time the Coast Guard boards a ship, there are no drugs.”",Rand Paul,mostly-true,Real,1
Maria Ramirez,"• October 22,","“Fifty percent of the presidents, almost, have used (the Insurrection Act). And that's unquestioned power.”",Donald Trump,barely-true,Fake,0
Amy Sherman,"October 20, 2025","""Political violence, it's just a statistical fact that it's a bigger problem on the left.”",JD Vance,barely-true,Fake,0
Maria Briceño,"October 20, 2025",Video shows “No Kings” protest in the United Kingdom.,X posts,pants-fire,Fake,0
Louis Jacobson,"October 20, 2025",Democrats are “dishonestly sending around a video from 2017” claiming it was an Oct. 18 ‘No Kings’ rally in Boston.,Ted Cruz,false,Fake,0
Samantha Putterman,"October 20, 2025",Florida will be the “hardest hit” state in the country if enhanced Affordable Care Act subsidies expire.,Darren Soto,mostly-true,Real,1
Louis Jacobson,"October 17, 2025","“We’ve never had a president that solved one war, not one war.”",Donald Trump,pants-fire,Fake,0
Maria Ramirez,"• October 16,","Regarding boat strikes off the coast of Venezuela, “Every boat that we knock out we save 25,000 American lives.”",Donald Trump,pants-fire,Fake,0
Maria Briceño,"October 16, 2025",Un video muestra un “arresto por robo que la policía de Chicago realizó hace más de un año”.,Tricia McLaughlin,false,Fake,0
Louis Jacobson,"October 16, 2025","As the Trump administration pursues mortgage fraud charges against Letitia James, “there are three Cabinet members who committed mortgage fraud that he’s just letting fly.”",Dan Koh,barely-true,Fake,0
Amy Sherman,"October 16, 2025","“Trump’s budget called for a $300 (million) cut” to the Women, Infants and Children program.",James Clyburn,true,Real,1
Natalie Ribar,"October 15, 2025",“Vaccine makers are exempt from all liability for vaccine injury and death.”,West Virginians For Health Freedom,barely-true,Fake,0
Maria Briceño,"October 15, 2025",A video shows a “burglary arrest Chicago Police made over a year ago.”,Tricia McLaughlin,false,Fake,0
Maria Ramirez,"• October 14,","“If you vote no on Prop 50 to stop the redistricting, it shows through the envelope,” making it easy for Democrats to cheat.",X posts,barely-true,Fake,0
Arielle Zionts,"October 13, 2025",“It's going to be the biggest infusion of federal dollars into rural health care in American history.”,Robert F. Kennedy Jr.,barely-true,Fake,0
Maria Briceño,"October 9, 2025","“El CEO de Coca-Cola, James Quincey, lanzó un ultimátum contundente: cancelen la actuación de Bad Bunny en el Super Bowl o la marca terminará su patrocinio del evento.”",Instagram posts,pants-fire,Fake,0
Maria Ramirez,"• October 9,","“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",Mike Johnson,false,Fake,0
Louis Jacobson,"October 9, 2025",“The FBI tapped my phone” and those of other senators.,Josh Hawley,barely-true,Fake,0
Maria Briceño,"October 9, 2025",“Coca-Cola CEO drops bombshell ultimatum to NFL — pull Bad Bunny from Super Bowl halftime or lose our $100 (million) sponsorship!”,X posts,pants-fire,Fake,0
Samantha Putterman,"October 8, 2025",Democrats shut down the government because they want “health care for illegal aliens and funding for free abortions.”,Rick Scott,false,Fake,0
Maria Briceño,"October 7, 2025",“Portland is burning to the ground.”,Donald Trump,false,Fake,0
Maria Ramirez,"• October 2,",“Los demócratas están amenazando con cerrar todo el gobierno porque quieren dar cientos de miles de millones de dólares en beneficios de cuidado de salud a los inmigrantes ilegales”.,JD Vance,false,Fake,0
Maria Briceño,"October 2, 2025","Thirty percent of U.S. medical residents are international medical graduates, and 10,000 of 43,000 residency spots are filled by H-1B visa holders.",X posts,half-true,Fake,0
Louis Jacobson,"October 2, 2025",“You never heard Biden say” the U.S. has “the strongest military anywhere in the world.”,Donald Trump,pants-fire,Fake,0
Maria Ramirez,"• October 1,",“Democrats are threatening to shut down the entire government because they want to give hundreds of billions of dollars of health care benefits to illegal aliens.”,JD Vance,false,Fake,0
Samantha Putterman,"September 30, 2025","On Jan. 6, 2021, 274 FBI agents were “probably acting as agitators and insurrectionists, but certainly not as ‘law enforcement officials.’”",Donald Trump,pants-fire,Fake,0
Louis Jacobson,"September 30, 2025","People with insurance through the Affordable Care Act will see a “75% increase in premiums starting Nov. 1” if enhanced subsidies are not extended, including “twice as much in the rural areas.”",Amy Klobuchar,mostly-true,Real,1
Amy Sherman,"September 30, 2025","“If the government shuts down, members of Congress still get paid. The janitors never get paid.”",Dan Koh,mostly-true,Real,1
Louis Jacobson,"September 29, 2025","""Republicans have effectively ended medical research in the United States of America.""",Hakeem Jeffries,barely-true,Fake,0
Jill Terreri,"• September 27,","During Gov. Hochul’s tenure, there has been “more crime on our streets.”",Robert Ortt,mostly-true,Real,1
Grace Abels,"September 26, 2025","Small children are given ""80 different vaccines.""",Donald Trump,false,Fake,0
Madison Czopek,"September 26, 2025",“Erika Kirk is banned from Romania because her Evangelical group was accused of trafficking children out of Romanian villages.”,X posts,false,Fake,0
Louis Jacobson,"September 24, 2025",The U.S. currently has “no inflation.”,Donald Trump,false,Fake,0
Louis Jacobson,"September 23, 2025",“I have ended seven unendable wars.”,Donald Trump,barely-true,Fake,0
Madison Czopek,"September 23, 2025",“There's no downside” to avoiding Tylenol or acetaminophen use while pregnant.,Donald Trump,pants-fire,Fake,0
Madison Czopek,"September 18, 2025","There was not “a single, prominent conservative voice in the country that even remotely wanted or hoped or was pushing to get Jimmy Kimmel taken off the air.”",Sean Hannity,false,Fake,0
Loreben Tuquero,"September 17, 2025",Former President Barack Obama eliminated a law that “held news corporations accountable for lying to the American people.”,Social Media,false,Fake,0
Louis Jacobson,"September 17, 2025",“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,Katherine Clark,mostly-true,Real,1
Paul Specht,"September 16, 2025",“North Carolina has just approved a law permitting foreign doctors to practice without completing U.S. training or licensing exams.”,X posts,barely-true,Fake,0
Will Doran,"September 12, 2025",Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,Michael Whatley,false,Fake,0
Samantha Putterman,"September 12, 2025",A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,X posts,false,Fake,0
Louis Jacobson,"September 9, 2025","“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",U.S. Energy Department,false,Fake,0
Maria Briceño,"September 8, 2025",Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,TikTok posts,false,Fake,0
Maria Ramirez,"• September 5,",Las cifras de la Oficina de Estadísticas Laborales de EE.UU. muestran que “tenemos 1.6 millones de inmigrantes ilegales que han regresado a su país de origen voluntariamente”.,Kristi Noem,half-true,Fake,0
Louis Jacobson,"September 5, 2025",“Groceries are down. Energy is way down. ... Was $4 and $5 for a gallon of gas.”,Donald Trump,half-true,Fake,0
Louis Jacobson,"September 5, 2025",“The average American worker has already seen a $500 wage increase this year.”,Donald Trump,half-true,Fake,0
Grace Abels,"September 4, 2025",“Everybody can get” the COVID-19 vaccine.,Robert F. Kennedy Jr.,barely-true,Fake,0
Samantha Putterman,"September 4, 2025",Every school vaccine mandate “drips” with “slavery.”,Joseph Ladapo,pants-fire,Fake,0
Maria Ramirez,"• September 2,","U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”",Kristi Noem,half-true,Fake,0
Maria Briceño,"September 2, 2025",President Donald Trump’s “official schedule was suddenly suspended.”,X posts,false,Fake,0
Samantha Putterman,"September 2, 2025",The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,James Uthmeier,false,Fake,0
Maria Briceño,"August 29, 2025",A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”,X posts,pants-fire,Fake,0
Amy Sherman,"August 28, 2025","Following the passage of a 2022 gun safety law, mass shootings “began to drop.”",Chris Murphy,half-true,Fake,0
Amy Sherman,"August 27, 2025","In Washington, D.C., “We always have a murder a week.”",Donald Trump,false,Fake,0
Louis Jacobson,"August 26, 2025","""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation.""",JD Vance,false,Fake,0
Maria Briceño,"August 25, 2025",An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.,X posts,false,Fake,0
Louis Jacobson,"August 22, 2025",“We had the biggest tax cut for families that this country has ever seen.”,JD Vance,barely-true,Fake,0
Maria Ramirez,"• August 22,","TikTok videos show police clearing out homeless encampments in Washington, D.C.",TikTok posts,false,Fake,0
Loreben Tuquero,"August 21, 2025",“Democrats have voted for national independent redistricting. Republicans have not.”,Gavin Newsom,mostly-true,Real,1
Grace Abels,"August 20, 2025","The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”",Donald Trump,pants-fire,Fake,0
Louis Jacobson,"August 19, 2025","With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night.""",Donald Trump,false,Fake,0
Amy Sherman,"August 18, 2025",“We are now the only country in the world that uses mail-in voting.”,Donald Trump,false,Fake,0
Maria Briceño,"August 15, 2025","La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”.",TikTok posts,pants-fire,Fake,0
Hope Karnopp,"August 15, 2025",“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,Americans for Prosperity,mostly-true,Real,1
Maria Ramirez,"• August 12,","Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”",Donald Trump,false,Fake,0
Maria Ramirez,"• August 8,",“Promises kept: negative net migration (in the U.S.) for the first time in 50 years!”,Donald Trump,barely-true,Fake,0
Samantha Putterman,"August 7, 2025",The official U.S. government website erased sections of the U.S. Constitution without amending it.,Threads posts,false,Fake,0
Maria Briceño,"August 7, 2025","Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah.",TikTok posts,false,Fake,0
Paul Specht,"August 7, 2025",“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,John Blust,false,Fake,0
Maria Briceño,"August 7, 2025","Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah.",TikTok posts,false,Fake,0
Amy Sherman,"August 6, 2025",Texas Republicans held one hearing on flood response but eight hearings on redistricting,Ken Martin,half-true,Fake,0
Louis Jacobson,"August 5, 2025","Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.",Donald Trump,pants-fire,Fake,0
Samantha Putterman,"August 5, 2025",“I’ve stopped six wars” since taking office in January 2025.,Donald Trump,barely-true,Fake,0
Gabrielle Lazor,"August 5, 2025","President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion.",Social Media,false,Fake,0
Maria Briceño,"August 5, 2025","“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”",Threads posts,false,Fake,0
Paul Specht,"August 5, 2025",“Guns are the leading cause of death for children in North Carolina.”,Josh Stein,mostly-true,Real,1
Madeline Heim,"July 30, 2025",“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,Francesca Hong,true,Real,1
Maria Briceño,"July 30, 2025","Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings.",X posts,pants-fire,Fake,0
Gabrielle Lazor,"July 30, 2025",“We gave $60 million two weeks ago” for food aid to Gaza.,Donald Trump,half-true,Fake,0
Maria Briceño,"July 29, 2025",Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,X posts,false,Fake,0
Madison Czopek,"July 29, 2025",“There is no starvation in Gaza.”,Benjamin Netanyahu,pants-fire,Fake,0
Maria Briceño,"July 28, 2025",Democrats paid Beyoncé $11 million for an endorsement.,Donald Trump,false,Fake,0
Amy Sherman,"July 28, 2025",The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,Markwayne Mullin,false,Fake,0
Loreben Tuquero,"July 28, 2025","Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”",Social Media,false,Fake,0
Louis Jacobson,"July 25, 2025","“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",Ritchie Torres,mostly-true,Real,1
Gabrielle Lazor,"July 24, 2025","“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”",U.S. Trade Representative,mostly-true,Real,1
Ella Moore,"July 23, 2025","Florida: #51 in mental health care, #1 in home insurance costs, #1 in elder fraud, #1 in rent hikes.",Gavin Newsom,half-true,Fake,0
Louis Jacobson,"July 22, 2025",Tariffs are “going to pay off our deficit.”,Howard Lutnick,false,Fake,0
Louis Jacobson,"July 22, 2025","In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton.",Donald Trump,pants-fire,Fake,0
Madison Czopek,"July 21, 2025",“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,TikTok posts,pants-fire,Fake,0
Louis Jacobson,"July 21, 2025","Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”",Lori Chavez-DeRemer,barely-true,Fake,0
Louis Jacobson,"July 18, 2025",“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,Gavin Newsom,mostly-true,Real,1
Grace Abels,"July 18, 2025",The Jeffrey Epstein files “were made up by Comey. They were made up by Obama. They were made up by Biden.”,Donald Trump,pants-fire,Fake,0
Maria Briceño,"July 16, 2025","El sheriff del condado Kerr, Texas dijo, “que se debe solicitar la residencia permanente para el equipo de rescate mexicano que rescató a su familia”.",TikTok posts,false,Fake,0
Maria Briceño,"July 15, 2025","""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean.",TikTok posts,pants-fire,Fake,0
Maria Briceño,"July 14, 2025","The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”",X posts,false,Fake,0
Gabrielle Lazor,"July 11, 2025",There is “zero impact” from Alligator Alcatraz on the Florida Everglades.,Ron DeSantis,false,Fake,0
Louis Jacobson,"July 11, 2025","A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”",Kevin Hassett,barely-true,Fake,0
Amy Sherman,"July 11, 2025","“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",Jon Favreau,mostly-true,Real,1
Will Doran,"July 10, 2025",Former Gov. Roy Cooper is scheduled to speak at a Winston-Salem coffee shop July 18 at 11 a.m. about the “future of North Carolina.”,X posts,false,Fake,0
Louis Jacobson,"July 10, 2025","China doesn’t “have a lot of wind farms. … Very, very few.”",Donald Trump,pants-fire,Fake,0
Loreben Tuquero,"July 9, 2025",Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,Scott Jennings,false,Fake,0
Louis Jacobson,"July 8, 2025",The Trump administration “has defunded not only the National Weather Service but also what’s known as NOAA.”,Social Media,barely-true,Fake,0
Louis Jacobson,"July 8, 2025","President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”",Hakeem Jeffries,half-true,Fake,0
Madison Czopek,"July 7, 2025",The Rainmaker Technology Corp.’s cloud seeding caused the July 4 flooding in Texas.,Social Media,false,Fake,0
Maria Briceño,"July 7, 2025",“Si dios fuera ilegal lo deportariamos palabras del gobernador de Texas”.,TikTok posts,false,Fake,0
Maria Briceño,"July 3, 2025",“Donald Trump acaba de firmar una nueva orden que pone al país en alerta máxima y sella las fronteras para todos los residentes” el 1 de julio.,TikTok posts,false,Fake,0
Maria Briceño,"July 2, 2025","Una nueva ley permite aplicar a “la residencia permanente de forma directa, rápida y sin salir del país” si los migrantes han vivido al menos siete años en EE.UU.",TikTok posts,false,Fake,0
Maria Briceño,"July 2, 2025",President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,TikTok posts,false,Fake,0
Maria Briceño,"July 1, 2025","A new “community recognition” law allows people to apply for “permanent residency directly, quickly, and without leaving the country” if they have “resided continuously in the United States for at least seven years, regardless of their current immigration status.”",TikTok posts,false,Fake,0
Loreben Tuquero,"July 1, 2025",Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.,X posts,false,Fake,0
Louis Jacobson,"June 30, 2025",The One Big Beautiful Bill will deliver the promise of “no tax on Social Security.”,Donald Trump,barely-true,Fake,0
Louis Jacobson,"June 27, 2025","“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",Elizabeth Warren,half-true,Fake,0
Ella Moore,"June 27, 2025","""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",Occupy Democrats,mostly-true,Real,1
Arielle Zionts,"June 27, 2025","“A lot of times, health care comes with a job.”",John Thune,half-true,Fake,0
Louis Jacobson,"June 26, 2025","If the “Big Beautiful Bill” passes, ""hardworking Americans and families will see an average increase in take-home pay of OVER $10,000 per year.""",Donald Trump,barely-true,Fake,0
